location,new_deaths,new_cases,new_vaccinations,human_development_index,population_density,gdp_per_capita,extreme_poverty,handwashing_facilities,median_age,aged_65_older,aged_70_older,UrbanPop,Services %,Industry %,Balance Trade(million US$)
Egypt,17094.0,377583.0,2157499.0,0.7070000000000001,97999.0,10550206.0,1.3,89827.0,25.3,5159.0,2891.0,43.1,52.5,36.3,-35545.0
El Salvador,2847.0,134728.0,4964236.0,0.6729999999999999,307811.0,7292458.0,2.2,90.65,27.6,8273.0,5417.0,66.7,63.3,25.8,-4519.0
Equatorial Guinea,97.0,11404.0,639.0,0.5920000000000001,45194.0,22604873.0,0.0,24.64,22.4,2846.0,1752.0,39.9,25.7,73.1,1987.0
Eritrea,100.0,8558.0,0.0,0.459,44304.0,1510459.0,0.0,0.0,19.3,3607.0,2171.0,22.6,59.3,23.5,-3310.0
Estonia,2382.0,557153.0,1993154.0,0.892,31033.0,29481252.0,0.5,0.0,42.7,19452.0,13491.0,67.5,69.2,27.4,-1807.0
Ethiopia,5638.0,366822.0,23047615.0,0.485,104957.0,1729927.0,26.7,7.96,19.8,3526.0,2063.0,19.5,43.5,16.0,-17397.0
Faeroe Islands,28.0,34048.0,34813.0,0.0,35308.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,-99.0,-99.0,216.0
Fiji,869.0,66664.0,28295.0,0.743,49562.0,8702975.0,1.4,0.0,28.6,6224.0,3284.0,53.7,70.7,18.1,-1391.0
Finland,4236.0,1134612.0,1254404.0,0.938,18136.0,40585721.0,0.0,0.0,42.8,21228.0,13264.0,84.2,70.6,26.8,-3176.0
France,85839.0,30455546.0,147237734.0,0.9009999999999999,122578.0,38605671.0,0.0,0.0,42.0,19718.0,13079.0,79.5,78.8,19.5,-71670.0
French Polynesia,535.0,57105.0,855.0,0.0,77324.0,0.0,0.0,0.0,32.7,7775.0,4593.0,55.9,85.2,11.9,-1319.0
Gabon,242.0,38718.0,1486.0,0.703,7859.0,16562413.0,3.4,0.0,23.1,4.45,2976.0,87.2,41.7,54.5,-79.0
Gambia,241.0,8212.0,429.0,0.496,207566.0,1561767.0,10.1,7876.0,17.5,2339.0,1417.0,59.6,64.0,14.9,-439.0
Georgia,14342.0,1440033.0,1455821.0,0.812,65032.0,9745079.0,4.2,0.0,38.7,14864.0,10244.0,53.6,66.9,24.1,-5122.0
Germany,109475.0,27973308.0,183212071.0,0.9470000000000001,237016.0,45229245.0,0.0,0.0,46.6,21453.0,15957.0,75.3,68.9,30.5,280080.0
Ghana,1121.0,112444.0,180950.0,0.611,126719.0,4227.63,12.0,41047.0,21.1,3385.0,1948.0,54.0,54.1,26.9,-4718.0
Gibraltar,98.0,17844.0,92234.0,0.0,3457.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-99.0,-99.0,-299.0
Greece,25638.0,3704292.0,20275313.0,0.888,83479.0,24574382.0,1.5,0.0,45.3,20396.0,14524.0,78.0,80.2,15.7,-19784.0
Greenland,22.0,11945.0,43336.0,0.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,86.4,74.1,15.9,-71.0
Grenada,233.0,18545.0,1159.0,0.779,317132.0,13593877.0,0.0,0.0,29.4,7304.0,5021.0,35.6,77.8,13.9,-320.0
Guam,0.0,0.0,0.0,0.0,304128.0,0.0,0.0,0.0,31.4,9551.0,5493.0,94.5,-99.0,-99.0,-99.0
Guatemala,14012.0,846465.0,13486669.0,0.6629999999999999,157834.0,7423808.0,8.7,76665.0,22.9,4694.0,3016.0,51.6,62.0,27.2,-6415.0
Guinea,364.0,23636.0,1586407.0,0.477,51755.0,1998926.0,35.3,17.45,19.0,3135.0,1733.0,37.2,47.4,32.8,-329.0
Guinea-Bissau,126.0,5948.0,1658.0,0.48,66191.0,1548675.0,67.1,6403.0,19.4,3002.0,1565.0,49.3,40.5,14.5,673.0
Guyana,1102.0,62581.0,145862.0,0.682,3952.0,7435047.0,0.0,77159.0,26.3,5305.0,2837.0,28.6,50.6,31.7,-172.0
Haiti,677.0,22104.0,41453.0,0.51,398448.0,1653173.0,23.5,22863.0,24.3,4.8,2954.0,58.6,45.1,38.2,-2332.0
Honduras,7876.0,308845.0,229026.0,0.634,82805.0,4541795.0,16.0,84169.0,24.9,4652.0,2883.0,54.7,61.9,25.1,-4791.0
Hungary,37159.0,1618310.0,8276404.0,0.8540000000000001,108043.0,26777561.0,0.5,0.0,43.4,18577.0,11976.0,71.2,64.0,31.9,11027.0
Iceland,118.0,194131.0,258851.0,0.9490000000000001,3404.0,46482958.0,0.2,0.0,37.3,14431.0,9207.0,94.1,69.7,24.0,-1254.0
India,369392.0,33480825.0,1914653341.0,0.645,450419.0,6426674.0,21.2,59.55,28.2,5989.0,3414.0,32.7,53.2,29.7,-96378.0
Indonesia,134711.0,5391755.0,330544770.0,0.718,145725.0,11188744.0,5.7,64204.0,29.3,5319.0,3053.0,53.7,44.7,41.3,8837.0
